magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
associate	|
lever	|
transient	|
internship	['ɪntɜːnʃɪp] n. 实习身份；实习医师
hollow	|
construct	|
requirement	[rɪ'kwaɪəmənt] n. 需要，需求，要求；需要的东西；必要条件
afflicting	[ə'flɪktɪŋ] a. 痛苦的
endeavour	[ɪnˈdevə(r)] n./vi. 努力，尽力；尝试
facilitate	___facilitate_ [fəˈsɪlɪteɪt] vt. 使便利，使容易；推动，帮助
inductive-reasoning	__inductive__ __reasoning__ [inˈdʌktiv ˈri:zənɪŋ] 归纳；推理
amateur	|
imaginative	[ɪ'mædʒɪnətɪv] a. 富有想象力的；创新的
bark	|
decrepit	[dɪˈkrepɪt] a. 破旧的；衰老的
suitcase	[ˈsu:tkeɪs] n. 手提箱；衣箱
shrewd	[ʃruːd] a. 机灵的；精明的
cover	|
industrious	[ɪnˈdʌstrɪəs] a. 勤奋的，勤勉的，勤劳的
nickel	__neckel__ [ˈnɪkl] n. 镍；（美国或加拿大的）五分镍币
pollutant	[pəˈlu:tənt] n. 污染物质（尤指排入水中和空气中的有害化学物质），有害物质
hypothesis	[haɪˈpɔθəsɪs] n. 假设，假定；假说；猜想
finitude	['faɪnɪtju:d] n. 有限；限定，界限
weigh	[weɪ] v. 称重；认真考虑，权衡
strike	|
outpost	[ˈautpəust] n. 前哨（站）；偏远村落
argument	[ˈɑːgjumənt] n. 争吵，争论；观点，论据；说理，论证
wander	[ˈwɔndə(r)] v. 徘徊，闲逛，漫步；偏离正道；走神，（神情）恍惚
fauna	[ˈfɔːnə] n. （某地区或某时期的）所有动物
height	__hight__ [haɪt] n. 海拔；身高
amphibious	[æmˈfɪbɪəs] a. 两栖的；水陆两用的
calcium	[ˈkælsɪəm] n. 钙
convention	[kənˈvenʃn] n. 大会，会议；惯例，常规，习俗；公约，协定
attribute	|
describe	__discribe__ [dɪˈskraɪb] vt. 描述，描写，形容
cheat	|
intervene	[ˏɪntəˈviːn] vi. 干涉，干扰；介于其间
compromise	|
fascinating	[ˈfæsɪneɪtɪŋ] a. 迷人的
protrude	[prəˈtruːd] v. （使）伸出；（使）突出
swing	|
proof	|
worm	[wɜːm] n. 虫，蠕虫；蜗杆，螺纹
dizziness	['dɪzɪnəs] n. 头昏眼花，眩晕
exodus	[ˈeksədəs] n. 大批离去，成群外出
otherwise	|
storey	[ˈstɔːrɪ] n. 楼层
whisper	[ˈwɪspə(r)] n./v. 低语
maritime	[ˈmærɪtaɪm] n. 海的，海事的；海运的
refund	|
interface	[ˈɪntəfeɪs] n. 界面；接口；接合点
barely	[ˈbeəli] ad. 仅仅，几乎不；赤裸裸地，无遮蔽地
wildlife	[ˈwaɪldlaɪf] n. 野生生物
vessel	[ˈvesl] n. <总称>船只；容器；血管
organic	[ɔːˈgænɪk] a. 器官的；有机的；有机体的；组织的
probability	[ˏprɔbəˈbɪlətɪ] n. 可能性；概率
invaluable	[ɪnˈvæljuəbl] a. 无价的
passport	[ˈpɑːspɔːt] n. 护照；途径，路子，手段
adopt	[əˈdɔpt] v. 采用，采取，采纳；收养，领养；正式通过，批准
disruption	[dɪs'rʌpʃn] n. 动乱；打乱；破坏
swift	[swɪft] a. 快的；敏捷的，迅速的
conquest	[ˈkɔŋkwest] n. 征服；战利品
frequency	[ˈfriːkwənsɪ] n. 频繁；频率
heritage	[ˈherɪtɪdʒ] n. 遗产；传统
optional	|
minority	[maɪˈnɔrətɪ] n. 少数；少数民族
drill	[drɪl] v./n. 钻；训练
represent	[ˏreprɪˈzent] vt. 代表；表示；表现
circulation	[ˏsɜːkjuˈleɪʃn] n. （体液的）循环，（水、空气等的）流通；流传，传播；发行，发行量
unveil	[ˏʌnˈveɪl] v. 揭去面纱或覆盖物；揭幕；首次公开、揭露或展示（某事物）
convection	[kənˈvekʃn] n. 传送；对流
privilege	|
complex	|
up-to-date	up to date  [ˏʌp tə ˈdeɪt] a. 直到最近的；现代的
inactive	[ɪnˈæktɪv] a. 不活动的；懒散的
waist	[weɪst] n. 腰，腰部
disobey	[ˏdɪsəˈbeɪ] v. 不服从，违抗
slippery	[ˈslɪpərɪ] a. 滑的，滑溜的；油滑的，狡猾的；棘手的
conduct	|
bead	[biːd] n. 珠子；（水、血、汗的）小滴
precise	[prɪˈsaɪs] a. 精确的，准确的；严谨的
marvellous	[ˈmɑ:vələs] n. 令人惊奇的；奇特的，非凡的；奇迹般的，不可思议的；绝妙的
format	|
naked	[ˈneɪkɪd] a. 裸体的，无遮蔽的
cluster	|
stainless	['steɪnlɪs] a. 不锈的；无污点的，无瑕疵的
meantime	|
inclination	[ˏɪŋklɪˈneɪʃn] n. 爱好；趋势；倾斜
brass	[brɑːs] n. 黄铜；黄铜器；铜管乐器
benefit	|
privacy	[ˈprɪvəsɪ] n. 隐私，私事；隐私权
subsidy	[ˈsʌbsɪdɪ] n. 津贴，补助金
mandarin	[ˈmændərɪn] n. 橘子；达官贵人，官僚；[M-] 普通话
bare	[beə(r)] a. 赤裸的，光秃的
unsanitary	[ʌnˈsænətri] a. 不卫生的（= insanitary）
civil	[ˈsɪvl] a. 国民的；民用的；政府的
nightmare	[ˈnaɪtmeə(r)] n. 噩梦；可怕的事物
preventative	[prɪ'ventətɪv] a. 预防性的
dispense	[dɪˈspens] vt. 分发，分配；提供
compatriot	[kəmˈpætrɪət] n. 同胞；同国人
geometric	[ˌdʒi:əˈmetrɪk] n. 几何的，几何学的
shutter	[ˈʃʌtə(r)] n. 百叶窗；（照相机的）快门
literacy	[ˈlɪtərəsɪ] n. 有文化；有教养；读写能力
level	|
extinction	[ɪkˈstɪŋkʃn] n. 灭绝，绝种；熄灭
require	[rɪˈkwaɪə(r)] vt. 需要；命令；规定，要求
platform	[ˈplætfɔːm] n. 平台，站台；纲领
therapy	[ˈθerəpɪ] n. 治疗，疗法
wonder	|
bounce	|
canoe	[kəˈnuː] n. 独木舟
paramount	|
theory	[ˈθɪərɪ] n. 理论，原理；学说；意见，看法
casual	[ˈkæʒuəl] a. 偶然的，碰巧的，不经意的；临时的，非正式的
receiver	[rɪˈsiːvə(r)] n. （电话）听筒；接收器
moderation	[ˏmɔdəˈreɪʃn] n. 温和，中庸；适度，合理
aeronautics	__aronautics__ [ˏeərəˈnɔːtɪks] n. 航空学
grind	|
fasten	[ˈfɑːsn] v. 扎牢，扣住
acquire	[əˈkwaɪə(r)] vt.  取得，获得
ingenuity	[ˌɪndʒə'nju:ətɪ] n. 心灵手巧，足智多谋；巧妙，精巧
ozone	[ˈəuzəun] n. 臭氧
texture	[ˈtekstʃə(r)] n. 质地，纹理；口感
ensure	[ɪnˈʃɔː(r)] vt. 确保，保证；担保；赋予
refrigerator	__refirgerator__ [rɪ'frɪdʒəreɪtə(r)] n. 冰箱；冷藏库
campaign	|
trapeze	[trəˈpiːz] n. 高空秋千；吊架
isolate	[ˈaɪsəleɪt] vt. 使陆离，使孤立
exorbitant	[ɪgˈzɔːbɪtənt] a. 过分的，不合理的
committee	[kəˈmɪtɪ] n. 委员会，全体委员
natural	[ˈnætʃrəl] a. 正常的，普通的，自然的；自然界的，天然的；天赋的，固有的
inalienable	[ɪnˈeɪlɪənəbl] a. 不可剥夺的，不可分割的
victimise	[ˈvɪktɪmaɪz] v. （使）受害，迫害
deception	[dɪˈsepʃn] n. 欺骗；诡计
emerge	[ɪˈmɜːdʒ] vi. 出现；显露，（事实等）暴露
extravagance	[ɪkˈstrævəgəns] n. 奢侈，挥霍；放肆的言行
point	|
pension	[ˈpenʃn] n. 养老金，抚恤金；年金
flap	|
freight	|
splint	|
intention	[ɪnˈtenʃn] n. 意图，目的
determine	[dɪˈtɜːmɪn] v. 确定；决定；（使）下决心
inferential	[ˌɪnfə'renʃəl] a. 可推断的，推理的
dusk	[dʌsk] n. 薄暮，黄昏
lower	[ˈləuə(r)] a. 较低的；下面的  v. 降低，减少
astronomy	[əˈstrɔnəmɪ] n. 天文学
quiver	[ˈkwɪvə(r)] v. 颤抖，抖动
comet	[ˈkɔmɪt] n. 彗星
overseas	|
enormous	[ɪˈnɔːməs] a. 巨大的，庞大的，极大的
allocation	[ˌæləˈkeɪʃn] n. 配给，分配，安置；配给量
budget	|
primarily	[praɪˈmerəli] ad. 首先；主要地，首要地
moderately	[ˈmɒdərətli] ad. 适度地，不过分地，有节制地
courageous	[kə'reɪdʒəs] a. 勇敢的，有胆量的
predominantly	[prɪˈdɒmɪnəntli] ad. 主要地；重要地；显著地
concur	[kənˈkɜː(r)] v. 同时发生；意见相同，一致
malevolent	[məˈlevələnt] a. 有恶意的；恶毒的
launch	|
volume	[ˈvɔljuːm] n. 卷，册；体积；音量
stereo	|
underpin	[ˏʌndəˈpɪn] vt. 加固……的基础；加强，巩固
painstaking	|
objectify	[əb'dʒektɪfaɪ] vt. 使客观化；使具体化；物化
cassette	[kəˈset] n. 盒式录音（或录像）带
blaze	|
sinister	[ˈsɪnɪstə(r)] a. 不吉祥的，凶兆的；险恶的，邪恶的
comparable	[ˈkɔmpərəbl] a. 可比较的，类似的；比得上的
conclusion	[kənˈkluːʒn] n. 结论，推论；结束，结尾；[法] 缔结，认定
mastery	[ˈmɑːstərɪ] n. 精通，熟练；控制
naturally	[ˈnætʃrəlɪ] ad. 当然，自然；天生地
lease	|
permission	[pəˈmɪʃn] n. 允许，准许
transfer	|
restore	[rɪˈstɔː(r)] vt. 恢复，使复位；修复，整修，重建；归还，交还
smear	[smɪə(r)] v. 胡乱涂抹；弄脏，弄污；诽谤，诋毁；变得模糊不清，把（图画等）弄得模糊不清  n. 污迹，污渍；（显微镜的）涂片；诽谤，诋毁
short-term	[ʃɔ:t tɜ:m] a. 短期的
consignment	[kən'saɪnmənt] n. 交付，委托；投递，发送；所托运的货物
ambulance	[ˈæmbjuləns] n. 救护车；野战医院
branch	[brɑːntʃ] n. 树枝；分部，分科
successive	[səkˈsesɪv] a. 连续的
hatch	|
gravel	[ˈgrævl] n. 沙砾，砾石
preserve	[prɪˈzɜːv] vt. 保护；维持；保存，保藏；腌渍
slurry	[ˈslʌrɪ] n. 泥浆
spark	[spɑːk] n. 火花
enthusiasm	[ɪnˈθjuːzɪæzəm] n. 热情，热心，积极性；热衷的事物
traditional	[trəˈdɪʃənl] a. 传统的，惯例的；口传的，传说的
innovative	__innovatve__ ['ɪnəveɪtɪv] a. 革新的，创新的，新颖的；富有革新精神的
spacecraft	[ˈspeɪskrɑ:ft] n. 航天器，宇宙飞船
as-though	好像，仿佛as-if/though
appreciate	[əˈpriːʃɪeɪt] v. 赏识，鉴赏；感激；涨价，增值
violence	[ˈvaɪələns] n. 暴力行为；激烈，猛烈
coincide	[ˏkəuɪnˈsaɪd] vi. 同时发生；一致
kindergarten	[ˈkɪndəgɑːtn] n. 幼儿园
segregate	[ˈsegrɪgeɪt] vt. 隔离，（使）分开
council	[ˈkaunsl] n. 理事会，委员会
novice	[ˈnɔvɪs] n. 生手，新手；初学者；新信徒，初学修士（或修女）
chief	[tʃiːf] a. 主要的；为首的
extend	[ɪkˈstend] v. 延长；扩大
compulsively	[kəm'pʌlsɪvlɪ] ad. 强制地；禁不住地
turret	[ˈtʌrɪt] n. 塔楼，角楼
stall	[stɔːl] n. 货摊；小隔间
permanent	[ˈpɜːmənənt] a. 永久的，持久的
cervical	[ˈsɜ:vɪkl] a. 子宫颈；颈部的
post-mortem	|
uphill	[ˏʌpˈhɪl] ad. 向上，往上；上坡；艰难地
slash	|
frown	[fraun] vi. （表示愤怒或烦心而）皱眉
electrical	[ɪˈlektrɪkl] a. 电的，电学的，有关电的
bubble	|
irregularity	[ɪˌregjəˈlærəti] n. 不规则，无规律
lag	|
aware	[əˈweə(r)] a. 知道的；意识到的
begrudge	[bɪˈgrʌdʒ] vt. 对……感到不满；嫉妒；勉强做，不乐意地做
pour	[pɔː(r)] v. 灌，倒；倾泻，涌流；喷发；不断涌现
suppress	[səˈpres] vt. 压制，镇压；禁止发表；查禁；抑制（感情等），忍住；阻止……的生长（或发展）
in-addition	in addition 另外；加之
prevail	___prevail_ [prɪˈveɪl] vi. 流行，盛行；占优势，战胜
refresh	[rɪˈfreʃ] v. （使）复原，更新；（使）精神振作，（使）精力恢复
adventure	[ədˈventʃə(r)] n. 冒险，冒险活动；异乎寻常的经历，奇遇
literal	[ˈlɪtərəl] a. 照字面的；逐字的
stimulate	[ˈstɪmjuleɪt] vt. 刺激；使兴奋；激发，激励
collaboration	[kəˌlæbəˈreɪʃn] n. 合作，协作；勾结，通敌
disempower	[dɪsɪm'paʊər] vt. 使失去权力或影响
merely	[ˈmiəli] ad. 仅仅，只不过
enrolment	[ɪnˈrəʊlmənt] n. 登记（人数），注册（人数）；入学，入伍；登记簿，名册
suggest	[səˈdʒest] v. 建议，提出；暗示
complaint	[kəmˈpleɪnt] n. 抱怨；投诉；控告；（尤指不严重、常影响身体某部位的）疾病
grieve	[griːv] v. （使）伤心
fatigue	|
charity	[ˈtʃærətɪ] n. 慈善；施舍；慈善机构
sacrifice	|
ultimate	|
probable	[ˈprɔbəbl] a. 很可能的，大概的
disillusion	[ˏdɪsɪˈluːʒn] vt. 使醒悟
depletion	[dɪ'pli:ʃn] n. 消减，消耗
harmony	[ˈhɑːmənɪ] n. 相符，一致；和谐，融洽；[音] 和声
procedure	[prəˈsiːdʒə(r)] n. 程序，手续；过程
mood	[muːd] n. 心情，情绪
belief	[bɪˈliːf] n. 信仰，信条；相信
lens	[lenz] n. 透镜；镜片；镜头
inclusive	[ɪnˈkluːsɪv] a. 包括一切费用在内的；所有数目（或首尾日期）包括在内的；包容广阔的
optic	|
shade	|
availability	[əˌveɪlə'bɪlətɪ] n. 可利用性，可得性；利用的可能性；可利用的人或物
clot	|
abandon	[əˈbændən] vt. 放弃，遗弃
currency	[ˈkʌrənsɪ] n. 货币；通用，流行
estuary	[ˈestʃuərɪ] n. （江河入海口的）河口，河口湾
grin	[grɪn] v./n. 咧嘴笑
decrease	|
fraction	[ˈfrækʃn] n. 小部分，片断
acquisition	[ˏækwɪˈzɪʃn] n. 取得；获得物
alienation	[ˌeɪlɪə'neɪʃn] n. 疏远；离间
favour	|
centigrade	[ˈsentɪgreɪd] a. 百分度的；摄氏度的
ash	[æʃ] n. 灰；灰烬； [pl.] 骨灰，遗骸
sphere	[sfɪə(r)] n. 球（体）；范围，领域
bankrupt	[ˈbæŋkrʌpt] a. 破产的
snobbish	[ˈsnɒbɪʃ] a. 势利的，谄上欺下的；自命不凡的
defence	[dɪˈfens] n. 防御，保护；辩护；答辩； [pl.] 防务工事
comparison	[kəmˈpærɪsn] n. 比较，对比，对照；比喻，比拟
generative	[ˈdʒenərətɪv] a. 生殖的，生产的；有生产能力的
repatriate	[riːˈpætrɪeɪt] v. 把（某人）遣返回国；归国
abstraction	[æbˈstrækʃn] n. 抽象
stack	|
chew	[tʃuː] v. 咀嚼；回味；熟思
chart	|
teem	[tiːm] vi. 倾泻；充满，遍布
descend	[dɪˈsend] v. 下来，下降；遗传
albeit	[ˏɔːlˈbiːɪt] conj. 虽然，尽管
kidney	[ˈkɪdnɪ] n. 肾，肾脏
brief	|
goodwill	[ˏgudˈwɪl] n. 友好，善意；信誉
bizarre	[bɪˈzɑː(r)] a. 奇形怪状的；怪诞的
oak	[əuk] n. 橡树，橡木
in-addition-to	in addition to 除……之外
superior	|
intelligence	[ɪnˈtelɪdʒəns] n. 智力，理解力；情报
disorder	[dɪsˈɔːdə(r)] n. 混乱；失调，紊乱，疾病
shave	[ʃeɪv] n./v. 修面
campus	[ˈkæmpəs] n. 校园
capture	|
authentic	[ɔːˈθentɪk] a. 真品的，真迹的；真正的，真实的，逼真的
sympathy	__simpathy__ [ˈsɪmpəθɪ] n. 同情；赞同，支持
viscous	[ˈvɪskəs] a. 黏滞的，黏性的
disapprove	[ˏdɪsəˈpruːv] v. 不赞成，反对
trend	|
hall	[hɔːl] n. 门厅；礼堂
brunt	[brʌnt] n. 冲击；冲力
opposite	|
hasty	[ˈheɪstɪ] a. 草率的，匆忙的
elite	|
direction	[dɪˈrekʃn, daɪ-] n. 方向；趋势，动向； [pl.] 用法说明；指导
convenient	[kənˈviːnɪənt] a. 方便的，便利的；适宜的
emphasis	[ˈemfəsɪs] n. 强调；重要性
temporary	[ˈtemprərɪ] a. 临时的，暂时的
assume	[əˈsjuːm] vt. 假定，设想；承担（责任），就（职）
marsh	[mɑːʃ] n. 沼泽；湿地
venomous	[ˈvenəməs] a. 有毒的；分泌毒液的；恶意的，狠毒的
representative	|
fare	|
brood	|
rent	|
glossary	[ˈglɔsərɪ] n. 词汇表；术语表
therefore	[ˈðeəfɔː(r)] ad. 因此，所以
introduction	[ˏɪntrəˈdʌkʃn] n. 介绍；传入，引进；导言，绪论
mingle	[ˈmɪŋgl] v. （使）混合，（使）联结；相往来；混杂其中
erroneous	[ɪˈrəunɪəs] a. 错误的，不正确的
handy	[ˈhændɪ] a. 方便的；手边的；手巧的
rotate	[rəuˈteɪt] v. （使）旋转，转动；轮流，轮换
tortoise	[ˈtɔːtəs] n. 龟，陆龟；行动迟缓的人
origin	[ˈɔrɪdʒɪn] n. 起源；[常pl.] 出身
encounter	[ɪnˈkauntə(r)] vt./n. 遭遇，遇到
sentient	[ˈsenʃnt];[ˈsentiənt] a. 有感觉能力的，有知觉力的；知悉的
brutal	[ˈbruːtl] a. 野兽般的，残忍的；无情的，冷酷的
ornament	|
overwhelm	[ˏəuvəˈwelm] vt. 征服；淹没
bereave	[bɪˈriːv] vt. 使丧失，剥夺
alight	|
beforehand	[bɪˈfɔːhænd] ad. 预先，事先
unanimous	[juːˈnænɪməs] a. 一致同意的；一致通过的
linen	[ˈlɪnɪn] n. 亚麻织品；亚麻布
studious	[ˈstjuːdɪəs] a. 好学的，学习勤勉的；专心的；谨慎的，认真的，仔细的
crossword	[ˈkrɔswɜːd] n. 纵横填字游戏
forecast	[ˈfɔːkɑːst] n./vt. 预报；预测；预想
exploit	|
sanitary	|
vital	[ˈvaɪtl] a. 生死攸关的；极其重要的；有生命力的
ornamental	[ˌɔ:nəˈmentl] a. 装饰性的，装饰的
episodic	[ˌepɪˈsɒdɪk] a. 偶然发生的，不定期的；由许多片段组成的，松散的
veterinary	[ˈvetrɪnrɪ] a. 兽医的
sausage	[ˈsɔsɪdʒ] n. 香肠
diverse	[daɪˈvɜːs] a. 不同的，多样的
foetus	[ˈfiːtəs] n. 胎儿；胚胎
thorny	['θɔ:nɪ] a. 多刺的；痛苦的，棘手的
hazard	|
finite	[ˈfaɪnaɪt] a. 有限的；限定的
impressive	[ɪmˈpresɪv] a. 给人深刻印象的，令人敬佩的
smell	[smel] v. 散发（或有）……的气味；闻到，嗅到
scrupulous	[ˈskruːpjuləs] a. 多顾虑的，谨慎的（尤指道德方面）；一丝不苟的，严谨的
duration	[djuˈreɪʃn] n. 持续，持续的时间，期间
compulsory	[kəmˈpʌlsərɪ] a. 义务的；必须做的；强制性的；（课程）必修的
balance	|
donate	[dəuˈneɪt] vt. 捐赠，赠送
plagiarise	[ˈpleɪdʒəraɪz] v. 剽窃，抄袭
intensive	[ɪnˈtensɪv] a. 加强的；密集的
despoil	__dispoil__ [dɪˈspɔɪl] vt. 抢夺，掠夺；蹂躏，破坏
stream	[striːm] n. 溪流；一股  v. 流出
entitle	[ɪnˈtaɪtl] vt. 给……权利（或资格）；给（书、文章等）题名；给……以称号
stuff	|
urban	[ˈɜːbən] a. 都市的；住在都市的
honour	|
shatter	[ˈʃætə(r)] v. （使）破碎，碎裂；给予极大打击
scream	|
summary	[ˈsʌmərɪ] n. 摘要，概要  a. 概括的，简略的
bump	|
menace	|
bring-around	bring around  说服；使恢复知觉（或健康）
holistic	[həʊˈlɪstɪk] a. 整体的，全面的；功能整体性的
nocturnal	[nɔkˈtɜːnl] a. 夜晚的；夜晚发生的；夜晚活动的
calf	[kɑːf] n. 牛犊；崽，幼兽
diameter	__diamiter__ [daɪˈæmɪtə(r)] n. 直径
debris	[ˈdeɪbriː] n. 碎屑，残骸；[地质] 岩屑
purpose	|
commute	|
captivity	[kæpˈtɪvəti] n. 囚禁，拘留
contain	[kənˈteɪn] vt. 包含，容纳，装有；控制，阻止，遏制
crusade	|
attack	__attact__ [əˈtæk] n./v. 进攻；抨击；（疾病等）突然发作
audacious	[ɔːˈdeɪʃəs] a. 大胆的；有冒险精神的；鲁莽的；厚颜无耻的
guinea	[ˈgɪnɪ] n. 几尼（英国的旧货币单位，现值1.05镑）
technical	[ˈteknɪkl] a. 技术的，工艺的
prevalent	[ˈprevələnt] a. 流行的，普遍的
lime	[laɪm] n. 石灰
coordinate	|
cork	|
administer	[ədˈmɪnɪstə(r)] v. 掌管；给予
score	|
unwrap	[ʌnˈræp] vt. 打开，解开；除去包装
bulletin	[ˈbulətɪn] n. （报纸、电台等的）新闻简报；公告；学报；期刊（尤指机关刊物）
kneel	[niːl] vi. 跪
proposal	[prəˈpəuzl] n. 提议，建议；求婚
appropriate	|
iris	[ˈaɪərɪs] n. （pl. irises或irides）虹；（眼球的）虹膜
accurate	[ˈækjərət] a. 正确无误的；精确的
longitudinal	[lɔndʒiˈtju:dinl] a. 经度的，经线的；纵的；长度的
sanction	|
awful	[ˈɔːfl] a. 糟糕的
chorus	|
wheelchair	[ˈwi:ltʃeə(r)] n. （病人等用的）轮椅
miscellaneous	[ˏmɪsəˈleɪnɪəs] a. 各种各样的；混杂的
except	|
assure	[əˈʃʊə(r)] vt. 使确信，使确保；保证，向……保证
celebrity	[sɪˈlebrətɪ] n. 名声；知名人士
bunch	|
genuine	[ˈdʒenjuɪn] a. 真正的；真实的
thirsty	['θɜ:stɪ] a. 口渴的；饥渴的
intelligible	[ɪnˈtelɪdʒəbl] a. 可理解的，明白易懂的，清楚的
